Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) cht1,Coverage (%) cht2,Coverage (%) cht3,Coverage (%) cht4,Coverage (%) cht5,Coverage (%) cht6,Coverage (%) cht7,Coverage (%) cht8,Coverage (%) cht9,Coverage (%) cht10,Coverage (%) el1,Coverage (%) el2,Coverage (%) el3,Coverage (%) el4,Coverage (%) el5,Coverage (%) el6,Coverage (%) el7,Coverage (%) el8,Coverage (%) el9,Coverage (%) el10,Coverage (%) lp1,Coverage (%) lp2,Coverage (%) lp3,Coverage (%) lp4,Coverage (%) lp5,Coverage (%) lp6,Coverage (%) lp7,Coverage (%) lp8,Coverage (%) lp9,Coverage (%) lp10,Coverage (%) trp1,Coverage (%) trp2,Coverage (%) trp3,Coverage (%) trp4,Coverage (%) trp5,Coverage (%) trp6,Coverage (%) trp7,Coverage (%) trp8,Coverage (%) trp9,Coverage (%) trp10,Area cht1,Area cht2,Area cht3,Area cht4,Area cht5,Area cht6,Area cht7,Area cht8,Area cht9,Area cht10,Area el1,Area el2,Area el3,Area el4,Area el5,Area el6,Area el7,Area el8,Area el9,Area el10,Area lp1,Area lp2,Area lp3,Area lp4,Area lp5,Area lp6,Area lp7,Area lp8,Area lp9,Area lp10,Area trp1,Area trp2,Area trp3,Area trp4,Area trp5,Area trp6,Area trp7,Area trp8,Area trp9,Area trp10,#Peptides,#Unique,#Spec cht1,#Spec cht2,#Spec cht3,#Spec cht4,#Spec cht5,#Spec cht6,#Spec cht7,#Spec cht8,#Spec cht9,#Spec cht10,#Spec el1,#Spec el2,#Spec el3,#Spec el4,#Spec el5,#Spec el6,#Spec el7,#Spec el8,#Spec el9,#Spec el10,#Spec lp1,#Spec lp2,#Spec lp3,#Spec lp4,#Spec lp5,#Spec lp6,#Spec lp7,#Spec lp8,#Spec lp9,#Spec lp10,#Spec trp1,#Spec trp2,#Spec trp3,#Spec trp4,#Spec trp5,#Spec trp6,#Spec trp7,#Spec trp8,#Spec trp9,#Spec trp10,PTM,Avg. Mass,Description
25,12,P07237|PDIA1_HUMAN,341.99,91,65,69,68,69,70,71,67,70,73,67,44,42,48,40,48,45,50,47,62,60,75,71,71,73,68,68,73,69,66,65,64,50,58,56,60,58,60,58,66,66,2.2069E8,3.1845E8,3.0563E8,3E8,3.6683E8,3.331E8,2.9232E8,3.128E8,3.2376E8,3.0394E8,2.0299E8,2.3507E8,2.4218E8,2.1771E8,2.3898E8,2.5126E8,4.3338E8,2.4881E8,1.272E9,1.1856E9,4.8574E8,4.0023E8,4.0027E8,4.5815E8,4.9651E8,4.0646E8,4.215E8,3.4322E8,4.1807E8,4.3229E8,5.8835E8,7.3281E8,6.851E8,6.2153E8,6.1268E8,3.4424E8,3.9467E8,7.7505E8,9.0007E8,9.4519E8,310,310,49,55,56,60,60,62,58,59,59,56,44,44,49,40,48,50,59,46,77,76,104,92,93,83,75,81,83,77,66,62,60,58,60,60,55,52,54,56,70,67,,57116,Protein disulfide-isomerase OS=Homo sapiens OX=9606 GN=P4HB PE=1 SV=3
6,360,O60814|H2B1K_HUMAN,341.85,92,56,69,60,60,71,63,69,73,71,61,65,62,65,56,61,67,67,65,67,69,75,75,68,72,72,72,75,72,75,77,75,58,63,52,58,52,58,58,63,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,0,70,83,83,92,94,97,98,98,98,96,81,68,74,56,67,92,103,90,135,140,215,221,227,199,228,220,193,205,165,127,74,81,76,88,86,67,80,66,117,90,,13890,Histone H2B type 1-K OS=Homo sapiens OX=9606 GN=H2BC12 PE=1 SV=3
28,37,P38646|GRP75_HUMAN,340.61,86,38,45,42,39,49,43,53,49,48,45,37,38,37,42,38,33,51,44,51,53,66,66,63,60,64,64,69,60,62,52,50,47,47,46,47,44,46,47,47,47,1.3772E8,1.5933E8,2.0384E8,1.7004E8,2.0827E8,1.9128E8,1.8244E8,1.9451E8,1.9614E8,1.9929E8,7.9281E7,1.0492E8,8.7365E7,9.9288E7,1.0155E8,9.6663E7,2.2186E8,1.0859E8,6.9945E8,7.1712E8,4.1907E8,2.9164E8,3.8102E8,3.9378E8,4.3517E8,3.5577E8,3.6013E8,3.3622E8,3.7748E8,3.3072E8,3.1427E8,3.8849E8,3.7091E8,2.9961E8,3.3769E8,1.852E8,1.9708E8,4.1837E8,5.3254E8,5.1294E8,340,316,33,39,44,36,45,40,46,43,44,45,38,44,47,46,48,43,76,48,109,122,107,99,106,88,104,98,98,89,83,74,52,53,50,44,49,45,39,52,56,56,,73681,Stress-70 protein  mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2
8,355,P06899|H2B1J_HUMAN,340.49,92,56,69,60,60,71,63,69,73,71,61,65,62,65,56,61,67,67,65,67,67,72,72,68,72,72,72,72,72,73,77,75,58,63,52,58,50,58,58,63,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,0,70,83,83,92,94,97,98,98,98,96,81,68,74,56,67,92,103,90,135,138,214,220,227,199,228,220,192,205,165,124,64,68,70,83,76,57,70,58,108,79,,13904,Histone H2B type 1-J OS=Homo sapiens OX=9606 GN=H2BC11 PE=1 SV=3
27,16,P30101|PDIA3_HUMAN,337.74,90,42,52,56,59,54,57,62,58,58,56,43,46,49,43,49,42,50,49,59,59,79,79,76,73,78,74,75,74,71,60,66,64,68,59,66,62,65,68,65,63,1.2379E8,1.6841E8,1.8493E8,1.7701E8,1.9252E8,2.0838E8,1.7194E8,1.8504E8,1.9143E8,2.0977E8,1.1844E8,1.2847E8,1.2681E8,1.1977E8,1.5007E8,1.3884E8,1.8301E8,1.4792E8,5.3109E8,6.9692E8,3.433E8,2.8698E8,3.3657E8,3.5744E8,3.8183E8,3.684E8,3.3414E8,2.9151E8,3.5431E8,3.3517E8,4.853E8,5.7486E8,5.5343E8,4.9911E8,4.8733E8,2.7474E8,3.0534E8,6.0868E8,7.6518E8,8.2019E8,279,279,34,39,42,45,44,46,43,45,45,47,33,35,36,36,42,39,37,41,59,66,94,93,100,80,97,94,91,80,76,65,62,64,59,57,60,53,51,57,66,68,,56782,Protein disulfide-isomerase A3 OS=Homo sapiens OX=9606 GN=PDIA3 PE=1 SV=4
18,36,P06576|ATPB_HUMAN,336.05,91,60,75,74,69,67,76,65,68,70,70,64,68,68,58,60,70,70,70,64,68,78,79,71,76,74,77,79,74,74,63,58,60,60,60,60,60,57,60,63,60,2.3877E8,3.6509E8,3.8291E8,3.7174E8,4.0271E8,3.8909E8,3.7383E8,3.7751E8,3.8136E8,3.7094E8,2.6862E8,3.0827E8,2.7482E8,2.6805E8,2.9331E8,3.0325E8,3.3204E8,3.2482E8,6.5477E8,1.0306E9,4.1103E8,3.8588E8,4.3001E8,3.832E8,4.7786E8,4.1976E8,4.3681E8,3.8129E8,4.7154E8,3.1772E8,4.6683E8,6.8431E8,6.6924E8,5.4114E8,5.5729E8,3.53E8,3.6319E8,6.7531E8,9.1888E8,9.3459E8,383,382,46,62,66,68,66,69,67,71,65,67,97,95,84,79,84,99,99,103,102,121,95,92,94,84,90,89,98,81,93,60,46,53,50,47,50,41,45,50,56,55,,56560,ATP synthase subunit beta  mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3
38,34,P04083|ANXA1_HUMAN,335.08,96,61,68,60,62,66,63,58,68,69,60,67,58,58,55,55,64,64,63,65,62,79,79,75,70,74,77,69,77,65,57,62,62,61,65,61,58,65,60,67,62,1.6023E8,2.2418E8,2.7964E8,2.9024E8,3.2438E8,2.5035E8,2.2809E8,2.7291E8,3.0953E8,2.5066E8,1.9605E8,1.9618E8,2.064E8,1.874E8,2.2145E8,2.0871E8,5.3433E8,2.3505E8,1.596E9,1.3457E9,5.1149E8,2.8149E8,3.4504E8,3.3092E8,3.8536E8,3.5313E8,3.2291E8,2.8925E8,3.0005E8,2.9353E8,5.2338E8,6.3168E8,5.6283E8,5.7162E8,5.016E8,2.918E8,3.4645E8,5.9851E8,8.5398E8,8.7036E8,255,252,28,36,38,40,38,36,30,41,48,39,53,50,48,50,50,51,71,53,102,87,80,64,73,64,67,73,61,67,54,44,42,46,46,46,49,40,37,45,61,55,,38714,Annexin A1 OS=Homo sapiens OX=9606 GN=ANXA1 PE=1 SV=2
17,33,P02545|LMNA_HUMAN,334.70,89,48,55,56,55,55,53,51,54,56,60,56,51,56,47,53,56,59,53,61,61,57,57,57,55,52,55,56,52,53,51,57,55,51,53,51,55,54,51,52,54,1.3412E8,1.8713E8,2.1736E8,2.027E8,2.4069E8,2.2759E8,1.9716E8,2.008E8,2.1793E8,2.0298E8,1.4359E8,1.5436E8,1.7346E8,1.8176E8,2.1972E8,1.7575E8,3.1103E8,1.7829E8,7.7375E8,1.0776E9,2.5228E8,2.2188E8,2.6927E8,3.1346E8,3.8516E8,3.0091E8,2.6054E8,2.1307E8,3.3234E8,2.436E8,8.3884E8,1.1373E9,1.0143E9,9.4869E8,8.427E8,5.0375E8,5.6139E8,1.1364E9,1.2791E9,1.3643E9,374,361,37,51,50,53,56,53,50,51,52,54,77,82,92,85,95,89,104,88,121,144,79,67,74,70,70,75,71,65,79,59,82,85,84,77,75,77,80,77,84,82,,74140,Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1
34,4,P05787|K2C8_HUMAN,334.42,98,51,66,62,63,62,61,64,66,59,57,58,56,54,47,57,60,61,67,68,70,83,84,74,78,88,81,81,73,70,66,71,74,74,63,74,72,70,69,74,74,1.5561E8,2.0932E8,2.3616E8,2.1024E8,2.4251E8,2.0558E8,2.2108E8,2.2919E8,2.2024E8,1.8755E8,1.2649E8,1.3296E8,1.4471E8,1.3244E8,1.4238E8,1.2604E8,1.571E8,1.5036E8,3.6208E8,5.376E8,2.0702E8,1.8961E8,2.127E8,1.8529E8,2.7391E8,2.442E8,2.4335E8,1.9364E8,2.0816E8,1.8055E8,2.8874E8,4.2501E8,3.8315E8,3.4334E8,3.3308E8,1.7914E8,2.1638E8,4.0857E8,4.8319E8,5.4707E8,301,244,36,44,38,40,44,42,47,50,47,46,51,52,52,50,52,53,55,65,65,79,72,58,66,57,67,71,60,60,56,46,67,75,68,57,68,54,56,61,85,77,,53704,Keratin  type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7
35,10,P19338|NUCL_HUMAN,334.25,68,36,45,47,50,44,49,49,45,48,52,32,35,35,33,39,33,37,41,39,38,47,46,49,46,46,43,52,43,41,39,45,44,44,42,43,44,40,43,44,45,1.5293E8,2.292E8,2.3731E8,2.04E8,2.5226E8,2.41E8,2.3181E8,2.4028E8,2.6777E8,2.4546E8,1.7494E8,1.7031E8,1.7412E8,1.7021E8,1.8894E8,2.2208E8,2.9565E8,2.1522E8,8.9537E8,1.281E9,3.4051E8,3.2131E8,2.9267E8,2.9863E8,3.8098E8,3.2863E8,2.9761E8,2.7552E8,2.9477E8,2.6265E8,4.3706E8,6.4427E8,6.0065E8,4.9216E8,5.1543E8,3.0222E8,3.2769E8,6.1442E8,7.6325E8,8.1882E8,290,289,30,39,40,41,41,46,42,41,47,48,52,50,42,50,57,61,64,57,91,108,75,72,70,59,65,64,74,60,50,42,53,57,56,51,51,47,42,53,58,58,,76615,Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3
9,295,Q99880|H2B1L_HUMAN,333.73,86,62,58,67,67,69,63,67,56,69,68,62,59,64,52,60,64,64,64,67,66,75,75,68,72,72,72,75,72,75,77,64,52,52,45,52,45,52,52,56,45,2.2624E5,,1.0512E5,1.8054E5,1.4511E5,,1.7845E5,,7.1399E4,1.1072E5,,,,,,,,,,,8.2737E6,0,,0,,,0,,,,,,,,,,,,,,240,3,62,65,71,76,74,81,79,78,80,84,80,64,71,50,62,90,93,90,96,93,192,198,198,169,200,196,176,191,134,110,73,79,73,87,84,65,79,65,116,87,,13952,Histone H2B type 1-L OS=Homo sapiens OX=9606 GN=H2BC13 PE=1 SV=3
41,18,P09651|ROA1_HUMAN,332.69,72,42,40,43,38,45,38,43,38,44,43,42,38,41,35,36,41,51,38,55,48,50,51,52,58,54,52,56,51,49,52,47,40,49,39,50,44,44,44,51,49,7.1097E7,1.2623E8,1.2859E8,1.345E8,1.5091E8,1.6134E8,1.3975E8,1.3618E8,1.6327E8,1.5789E8,1.6202E8,1.8132E8,1.3884E8,1.9509E8,1.9532E8,1.2686E8,2.7435E8,1.972E8,4.9676E8,7.6948E8,2.7731E8,2.3243E8,2.8374E8,2.9783E8,3.1553E8,3.2042E8,3.2183E8,2.4229E8,3.1301E8,3.2854E8,3.1921E8,3.8998E8,3.8251E8,2.8772E8,3.808E8,2.2104E8,2.4801E8,4.223E8,5.6172E8,5.4461E8,199,149,23,30,35,31,33,37,36,32,40,36,37,34,37,32,35,36,45,42,52,55,65,62,70,67,71,72,69,56,61,61,70,61,67,58,71,55,56,66,74,73,,38747,Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5
29,19,P07355|ANXA2_HUMAN,328.19,94,52,52,47,52,53,55,50,47,53,53,61,60,58,64,61,56,81,60,82,81,85,74,69,73,76,64,77,65,61,70,66,60,60,58,58,59,58,59,66,62,2.4327E8,2.6378E8,3.7063E8,3.3772E8,3.6027E8,3.2433E8,3.2534E8,3.9288E8,4.188E8,3.0566E8,1.4344E8,1.668E8,1.5238E8,1.6089E8,1.6234E8,1.1299E8,3.777E8,1.7325E8,1.8448E9,1.6019E9,6.8353E8,4.2608E8,4.9978E8,5.8531E8,5.5684E8,5.2582E8,4.9061E8,4.5181E8,5.8165E8,5.7893E8,8.8277E8,1.1278E9,1.0755E9,9.6292E8,9.5526E8,5.3766E8,5.8149E8,1.2099E9,1.4332E9,1.4916E9,302,297,29,33,32,29,32,32,34,35,38,33,37,40,41,43,49,41,75,44,118,109,94,74,73,75,74,73,74,61,59,60,67,70,64,56,65,55,49,71,81,79,,38604,Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2
36,30,P25705|ATPA_HUMAN,326.89,90,49,58,46,62,58,55,60,67,61,52,38,44,46,43,44,45,46,50,56,53,66,66,67,59,65,65,68,54,63,52,58,58,58,48,58,58,52,58,56,59,8.2545E7,1.1685E8,1.187E8,1.2362E8,1.5471E8,1.2459E8,1.3117E8,1.3698E8,1.38E8,1.007E8,9.3264E7,9.9802E7,1.1487E8,1.083E8,1.2573E8,9.4414E7,2.1003E8,1.2127E8,6.9028E8,7.5964E8,2.3858E8,1.9936E8,2.3318E8,2.1559E8,3.4978E8,2.3414E8,2.1511E8,1.6507E8,2.4982E8,1.8186E8,3.5604E8,5.4019E8,4.9106E8,4.0928E8,4.1694E8,2.557E8,2.8742E8,5.3239E8,5.8254E8,6.9018E8,315,314,33,36,32,39,45,37,42,38,43,30,40,43,48,42,51,45,56,53,82,84,92,82,95,73,92,85,88,69,78,61,50,49,48,43,44,44,39,44,49,53,,59751,ATP synthase subunit alpha  mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1A PE=1 SV=1
49,2,P50454|SERPH_HUMAN,326.28,89,43,55,54,54,56,53,49,45,56,56,38,39,40,40,46,46,49,40,51,49,69,68,64,68,74,59,67,61,64,51,51,58,55,50,54,55,50,55,61,59,6.8476E7,1.2273E8,1.203E8,1.1466E8,1.2232E8,1.0635E8,1.0589E8,1.1424E8,1.2207E8,1.1281E8,7.3495E7,9.2942E7,9.2669E7,8.7268E7,1.029E8,9.9828E7,1.5973E8,1.0181E8,4.6423E8,5.3927E8,2.1357E8,1.8264E8,2.0172E8,1.939E8,2.2741E8,2.4079E8,2.1641E8,1.7812E8,2.0492E8,1.2895E8,2.5148E8,3.7895E8,3.7053E8,2.9685E8,3.225E8,1.7958E8,1.9925E8,3.5087E8,5.1386E8,5.0398E8,226,224,22,35,34,34,37,30,32,32,32,32,28,36,31,28,36,31,52,34,76,76,61,58,60,49,60,62,59,51,53,38,36,40,41,34,36,34,31,39,43,41,,46441,Serpin H1 OS=Homo sapiens OX=9606 GN=SERPINH1 PE=1 SV=2
